kabupaten_id,bencana_id,tanggal,korban_meninggal,korban_hilang,korban_luka,korban_mengungsi
1114,1,20/4/2012,0,0,0,281
1114,1,1/6/2011,0,0,0,0
1114,1,31/3/2011,0,0,0,2
1114,1,25/3/2011,0,0,0,175
1114,1,16/3/2011,0,0,0,3
1115,1,11/12/2015,0,0,0,24555
1115,1,19/10/2015,0,0,0,0
1115,1,24/9/2015,0,0,0,0
1115,1,13/9/2015,0,0,0,0
1115,1,17/4/2015,0,0,0,0
1115,1,3/11/2014,0,0,0,0
1115,1,17/10/2014,0,0,0,0
1115,1,5/9/2013,0,0,0,12459
1115,1,30/8/2013,0,0,0,10
1115,1,6/5/2013,0,0,0,0
1115,1,5/4/2013,1,0,0,0
1115,1,1/4/2012,0,0,0,0
1115,1,1/9/2011,0,0,0,0
1115,1,1/4/2011,0,0,0,1
1115,1,1/3/2011,0,0,0,0
1116,1,22/8/2016,0,0,0,0
1116,1,15/5/2016,0,0,0,0
1116,1,11/12/2015,0,0,0,603
1116,1,14/7/2015,0,0,0,22284
1116,1,27/10/2014,0,0,0,0
1116,1,4/6/2014,0,0,0,0
1116,1,20/11/2013,0,0,0,0
1116,1,7/11/2013,0,0,0,0
1116,1,5/4/2013,0,0,0,14141
1116,1,15/4/2012,0,0,0,0
1116,1,10/5/2011,0,0,0,2
1117,1,16/11/2015,0,0,0,0
1117,1,13/9/2015,0,0,0,366
1117,1,4/10/2014,0,0,0,65
1118,1,22/11/2014,1,0,0,200
1118,1,1/1/2013,0,0,0,0
1118,1,1/3/2011,0,0,0,0
1172,1,26/12/2011,0,0,0,0
1173,1,28/9/2015,0,0,0,0
1173,1,4/2/2013,0,0,0,0
1173,1,1/1/2013,0,0,0,0
1173,1,9/10/2012,0,0,0,0
1174,1,18/8/2014,0,0,0,375
1174,1,15/4/2013,0,0,0,0
1174,1,1/12/2012,0,0,0,0
1175,1,31/1/2016,0,0,0,80
1175,1,13/12/2015,0,0,0,11
1175,1,24/10/2015,0,0,0,0
1175,1,20/9/2015,0,0,0,0
1175,1,14/1/2015,0,0,0,0
1175,1,11/1/2015,0,0,0,4239
1175,1,1/1/2013,0,0,0,0
1175,1,11/11/2012,0,0,0,0
1175,1,1/6/2012,0,0,0,0
1175,1,1/4/2012,0,0,0,0
1175,1,1/1/2012,0,0,0,0
1201,1,14/12/2015,0,0,0,0
1202,1,5/6/2014,0,0,0,0
1202,1,6/12/2013,0,0,0,0
1202,1,28/4/2013,0,0,6,810
1202,1,30/3/2013,0,0,0,0
1202,1,14/2/2013,2,1,0,4819
1202,1,29/12/2012,0,1,0,0
1202,1,4/11/2012,0,0,0,0
1202,1,26/2/2012,0,0,0,0
1202,1,7/2/2012,0,0,0,0
1202,1,9/12/2011,0,0,0,0
1202,1,18/5/2011,4,0,1,0
1203,1,16/5/2016,0,0,0,0
1203,1,15/5/2016,0,0,0,0
1203,1,14/12/2015,0,0,0,0
1203,1,10/8/2015,0,2,0,0
1203,1,3/11/2014,0,0,0,0
1203,1,1/12/2012,0,0,0,0
1203,1,1/11/2012,0,0,0,0
1203,1,21/10/2012,0,0,0,0
1203,1,19/10/2012,0,0,0,0
1203,1,1/2/2012,0,0,0,0
1203,1,1/9/2011,0,0,0,0
1203,1,24/5/2011,4,0,0,0
1203,1,1/3/2011,0,0,0,0
1204,1,22/3/2016,0,0,0,250
1204,1,17/12/2014,0,0,0,0
1204,1,3/4/2014,0,0,0,0
1204,1,6/1/2014,0,0,0,1700
1204,1,6/5/2013,0,0,0,11000
