id,nama,provinsi_id
97028,Stasiun Meteorologi Sultan Bantilan,72
97072,Stasiun Meteorologi Mutiara Sis-Al Jufri,72
97074,Stasiun Geofisika Palu,72
97086,Stasiun Meteorologi Syukuran Aminudin Amir,72
97096,Stasiun Meteorologi Kasiguncu,72
97142,Stasiun Meteorologi Sangia Ni Bandera,74
97144,Stasiun Meteorologi Maritim Kendari,74
97146,Stasiun Geofisika Kendari,74
97192,Stasiun Meteorologi Beto Ambari,74
97008,Stasiun Meteorologi Naha,71
97012,Stasiun Klimatologi Kayuwatu,71
97014,Stasiun Meteorologi Sam Ratulangi,71
97016,Stasiun Meteorologi Maritim Bitung,71
97010,Stasiun Geofisika Winangun,71
96161,Stasiun Metorologi Maritim Teluk Bayur,13
96163,Stasiun Meteorologi Minangkabau,13
96165,Stasiun Geofisika Silaing Bawah,13
96167,Stasiun Klimatologi Sicincin,13
96169,Stasiun GAW ,13
96221,Stasiun Meteorologi Sultan Mahmud Badaruddin II,16
96223,Stasiun Klimatologi Kenten,16
96031,Stasiun Klimatologi Sampali,12
96033,Stasiun Meteorologi Maritim Belawan Medan,12
96035,Stasiun Meteorologi Kualanamu,12
96037,Stasiun Geofisika Tuntungan,12
96039,Stasiun Geofisika Parapat,12
96071,Stasiun Meteorologi Aek Godang,12
96073,Stasiun Meteorologi F.L Tobing,12
96075,Stasiun Meteorologi Binaka,12
96077,Stasiun Geofisika Gunung Sitoli,12
96041,"Balai Besar Meteorologi, Klimatologi, dan Geofisika Wilayah I",12
