id,nama
01,BANJIR
02,PUTING BELIUNG
03,TANAH LONGSOR
04,GEMPA BUMI
05,LETUSAN GUNUNG API
06,TSUNAMI
07,KEKERINGAN
08,KEBAKARAN
09,KEBAKARAN HUTAN DAN LAHAN
10,GELOMBANG PASANG / ABRASI

